"Severity","RuleId","Path","Line","Message"
"ERROR","yaml.github-actions.security.run-shell-injection.run-shell-injection","/src/.github/workflows/update-challenges-ebook.yml","21","Using variable interpolation `${{...}}` with `github` context data in a `run:` step could allow an attacker to inject their own code into the runner. This would allow them to steal secrets and code. `github` context data can have arbitrary user input and should be treated as untrusted. Instead, use an intermediate environment variable with `env:` to store the data and use the environment variable in the `run:` script. Be sure to use double-quotes the environment variable, like this: ""$ENVVAR""."
"ERROR","javascript.sequelize.security.audit.sequelize-injection-express.express-sequelize-injection","/src/data/static/codefixes/dbSchemaChallenge_1.ts","5","Detected a sequelize statement that is tainted by user-input. This could lead to SQL injection if the variable is user-controlled and is not properly sanitized. In order to prevent SQL injection, it is recommended to use parameterized queries or prepared statements."
"ERROR","javascript.sequelize.security.audit.sequelize-injection-express.express-sequelize-injection","/src/data/static/codefixes/dbSchemaChallenge_3.ts","11","Detected a sequelize statement that is tainted by user-input. This could lead to SQL injection if the variable is user-controlled and is not properly sanitized. In order to prevent SQL injection, it is recommended to use parameterized queries or prepared statements."
"ERROR","javascript.sequelize.security.audit.sequelize-injection-express.express-sequelize-injection","/src/data/static/codefixes/unionSqlInjectionChallenge_1.ts","6","Detected a sequelize statement that is tainted by user-input. This could lead to SQL injection if the variable is user-controlled and is not properly sanitized. In order to prevent SQL injection, it is recommended to use parameterized queries or prepared statements."
"ERROR","javascript.sequelize.security.audit.sequelize-injection-express.express-sequelize-injection","/src/data/static/codefixes/unionSqlInjectionChallenge_3.ts","10","Detected a sequelize statement that is tainted by user-input. This could lead to SQL injection if the variable is user-controlled and is not properly sanitized. In order to prevent SQL injection, it is recommended to use parameterized queries or prepared statements."
"WARNING","generic.html-templates.security.unquoted-attribute-var.unquoted-attribute-var","/src/frontend/src/app/navbar/navbar.component.html","17","Detected a unquoted template variable as an attribute. If unquoted, a malicious actor could inject custom JavaScript handlers. To fix this, add quotes around the template expression, like this: ""{{ expr }}""."
"WARNING","generic.html-templates.security.unquoted-attribute-var.unquoted-attribute-var","/src/frontend/src/app/purchase-basket/purchase-basket.component.html","15","Detected a unquoted template variable as an attribute. If unquoted, a malicious actor could inject custom JavaScript handlers. To fix this, add quotes around the template expression, like this: ""{{ expr }}""."
"WARNING","generic.html-templates.security.unquoted-attribute-var.unquoted-attribute-var","/src/frontend/src/app/search-result/search-result.component.html","40","Detected a unquoted template variable as an attribute. If unquoted, a malicious actor could inject custom JavaScript handlers. To fix this, add quotes around the template expression, like this: ""{{ expr }}""."
"WARNING","javascript.jsonwebtoken.security.jwt-hardcode.hardcoded-jwt-secret","/src/lib/insecurity.ts","56","A hard-coded credential was detected. It is not recommended to store credentials in source-code, as this risks secrets being leaked and used by either an internal or external malicious adversary. It is recommended to use environment variables to securely provide credentials or retrieve credentials from a secure vault or HSM (Hardware Security Module)."
"WARNING","javascript.express.security.injection.raw-html-format.raw-html-format","/src/routes/chatbot.ts","197","User data flows into the host portion of this manually-constructed HTML. This can introduce a Cross-Site-Scripting (XSS) vulnerability if this comes from user-provided input. Consider using a sanitization library such as DOMPurify to sanitize the HTML within."
"WARNING","javascript.express.security.audit.express-res-sendfile.express-res-sendfile","/src/routes/fileServer.ts","33","The application processes user-input, this is passed to res.sendFile which can allow an attacker to arbitrarily read files on the system through path traversal. It is recommended to perform input validation in addition to canonicalizing the path. This allows you to validate the path against the intended directory it should be accessing."
"WARNING","javascript.express.security.audit.express-res-sendfile.express-res-sendfile","/src/routes/keyServer.ts","14","The application processes user-input, this is passed to res.sendFile which can allow an attacker to arbitrarily read files on the system through path traversal. It is recommended to perform input validation in addition to canonicalizing the path. This allows you to validate the path against the intended directory it should be accessing."
"WARNING","javascript.express.security.audit.express-res-sendfile.express-res-sendfile","/src/routes/logfileServer.ts","14","The application processes user-input, this is passed to res.sendFile which can allow an attacker to arbitrarily read files on the system through path traversal. It is recommended to perform input validation in addition to canonicalizing the path. This allows you to validate the path against the intended directory it should be accessing."
"ERROR","javascript.sequelize.security.audit.sequelize-injection-express.express-sequelize-injection","/src/routes/login.ts","34","Detected a sequelize statement that is tainted by user-input. This could lead to SQL injection if the variable is user-controlled and is not properly sanitized. In order to prevent SQL injection, it is recommended to use parameterized queries or prepared statements."
"WARNING","javascript.express.security.audit.express-res-sendfile.express-res-sendfile","/src/routes/quarantineServer.ts","14","The application processes user-input, this is passed to res.sendFile which can allow an attacker to arbitrarily read files on the system through path traversal. It is recommended to perform input validation in addition to canonicalizing the path. This allows you to validate the path against the intended directory it should be accessing."
